"ID","country","Q2","Q4","Q5","Q6","Q6N","Q7","Q23","Q30","Q46a","Q46b","Q46c"
"8484","3","1","3","2","2","1","1","1","1","1","1","1"
"8485","3","1","3","2","2","1","3","97","3","1","2","1"
"8486","3","1","2","2","2","1","1","1","1","1","1","1"
"8487","3","1","3","2","3","3","1","4","1","1","1","1"
"8488","3","1","3","2","3","3","1","1","1","2","1","1"
"8489","3","1","2","2","1","1","1","1","2","1","2","2"
"8490","3","1","2","2","3","3","3","97","1","1","2","1"
"8491","3","1","2","2","2","1","3","1","2","1","1","1"
"8492","3","1","2","2","1","1","1","1","2","2","1","1"
"8493","3","1","3","2","3","3","3","97","1","2","2","2"
"8494","3","1","3","2","3","3","3","2","1","1","2","2"
"8495","3","1","2","2","1","1","1","4","3","2","2","2"
"8496","3","1","2","2","2","1","1","97","1","2","1","1"
"8497","3","1","3","2","2","1","1","1","1","2","2","2"
"8498","3","1","2","2","1","1","1","1","1","2","1","2"
"8499","3","1","3","2","3","1","3","97","1","2","2","1"
"8500","3","1","2","2","3","3","3","1","2","1","1","1"
"8501","3","1","2","2","3","1","1","1","1","1","1","1"
"8502","3","1","2","2","1","1","1","1","1","2","2","2"
"8503","3","1","2","2","3","1","3","97","1","1","1","1"
"8504","3","1","1","2","1","1","1","1","3","2","2","2"
"8505","3","1","2","2","2","3","3","4","1","2","2","2"
"8506","3","1","2","3","3","1","8","2","2","1","1","8"
"8507","3","1","3","2","3","1","2","1","2","2","1","1"
"8508","3","1","1","2","2","1","1","1","3","2","2","1"
"8509","3","1","1","1","3","1","8","1","8","2","1","1"
"8510","3","1","2","2","3","1","1","2","2","1","1","9"
"8511","3","1","3","2","3","1","8","2","3","1","1","1"
"8512","3","1","3","2","3","1","9","1","1","1","1","8"
"8513","3","1","1","2","1","1","8","1","8","2","2","2"
"8514","3","1","2","2","2","1","8","1","3","2","1","1"
"8515","3","1","1","9","3","3","1","2","2","1","1","1"
"8516","3","1","8","2","3","1","8","2","2","2","2","2"
"8517","3","1","4","3","1","2","3","3","2","1","2","2"
"8518","3","1","2","3","2","1","2","2","1","1","1","1"
"8519","3","1","2","3","1","2","1","2","1","1","2","2"
"8520","3","1","3","9","2","1","3","1","1","1","1","1"
"8521","3","1","2","3","1","1","2","2","1","1","1","2"
"8522","3","1","1","2","1","1","1","1","1","1","1","1"
"8523","3","1","1","2","1","2","1","1","1","1","1","1"
"8524","3","2","2","2","2","3","1","1","1","1","1","2"
"8525","3","2","1","2","1","1","1","1","2","1","1","1"
"8526","3","1","1","3","1","1","1","2","1","1","1","1"
"8527","3","2","2","2","2","1","1","1","3","1","1","2"
"8528","3","1","2","2","2","1","1","1","2","1","2","1"
