"ID","country","q3","Q10A","Q10B","Q24B","Q27A","Q27B","Q27C","Q27D","Q27E","Q27F","q56"
"1","19","3","1","4","2","2","1","1","1","1","2","2"
"2","19","2","1","3","1","1","1","1","1","1","1","1"
"3","19","3","2","3","2","2","2","1","1","1","2","2"
"4","19","2","2","2","8","2","1","2","1","1","1","1"
"5","19","3","2","4","2","2","1","2","1","1","1","1"
"6","19","2","1","8","1","2","1","2","1","1","2","3"
"7","19","2","1","2","1","2","1","2","1","1","2","2"
"8","19","1","1","2","2","1","1","1","2","1","1","1"
"9","19","2","1","8","1","2","1","2","8","1","8","2"
"10","19","3","1","8","2","2","1","1","1","1","2","2"
"11","19","3","1","2","1","2","1","2","1","1","2","2"
"12","19","4","4","8","2","1","2","1","1","8","1","2"
"13","19","4","1","4","2","1","1","1","2","1","1","3"
"14","19","2","2","3","2","2","1","1","1","1","2","2"
"15","19","2","2","2","1","2","1","2","1","1","2","1"
"16","19","4","4","4","1","1","1","1","1","1","1","2"
"17","19","2","2","3","2","1","1","1","2","2","1","1"
"18","19","2","1","8","2","2","1","2","1","1","2","2"
"19","19","1","1","1","1","2","1","2","1","2","2","2"
"20","19","2","1","2","1","1","2","1","2","1","1","1"
"21","19","4","1","3","1","1","1","1","1","1","2","2"
"22","19","4","1","3","1","2","1","2","1","1","1","1"
"23","19","2","2","3","2","1","1","1","1","1","1","1"
"24","19","2","2","8","1","1","1","2","2","1","2","1"
"25","19","1","1","8","1","2","1","1","1","1","2","3"
"26","19","2","1","2","2","2","2","1","2","2","1","2"
"27","19","1","1","4","1","2","1","2","8","1","2","3"
"28","19","9","1","9","9","1","1","2","9","1","2","1"
"29","19","4","3","4","2","1","1","1","2","2","1","1"
"30","19","3","3","3","1","2","2","1","2","1","1","1"
"31","19","2","1","2","1","1","1","2","1","1","2","3"
"32","19","3","2","2","1","2","1","1","1","1","2","1"
"33","19","4","4","4","2","1","2","1","2","2","1","2"
"34","19","2","1","3","1","1","2","1","2","2","1","1"
"35","19","4","1","4","2","2","1","2","1","1","2","1"
"36","19","2","2","3","1","1","1","2","2","1","2","1"
"37","19","4","1","3","2","2","1","2","1","1","2","2"
"38","19","3","1","3","1","1","1","2","1","1","2","3"
"39","19","4","3","4","8","2","1","2","2","1","2","2"
"40","19","4","2","3","1","1","1","1","2","1","1","1"
"41","19","3","2","3","1","2","2","2","1","1","2","2"
"42","19","2","1","2","1","1","1","2","1","1","2","1"
"43","19","2","1","3","1","1","1","2","2","1","2","2"
"44","19","4","1","3","2","2","1","2","1","2","2","2"
"45","19","4","1","4","2","1","1","2","1","1","1","2"
"46","19","2","2","4","1","2","1","2","1","1","1","1"
"47","19","3","2","3","1","1","1","1","1","1","1","2"
"48","19","2","3","3","2","2","2","1","1","1","1","2"
"49","19","3","1","4","1","1","2","1","2","1","1","1"
"50","19","2","2","3","1","1","1","1","1","1","1","1"
