"ID","country","Q24A","Q85A","Q85B","Q85C","Q85D","q100us"
"1","19","2","2","1","1","1","2"
"2","19","2","4","1","3","1","2"
"3","19","2","4","2","3","3","1"
"4","19","8","4","2","4","2","1"
"5","19","2","2","1","2","2","1"
"6","19","8","2","1","2","1","1"
"7","19","1","1","1","1","2","2"
"8","19","2","4","3","4","3","1"
"9","19","2","1","1","1","4","2"
"10","19","8","1","1","4","1","8"
"11","19","2","1","1","1","1","1"
"12","19","2","2","1","1","1","1"
"13","19","2","1","1","1","3","2"
"14","19","2","2","1","1","1","1"
"15","19","1","2","2","2","2","8"
"16","19","2","3","1","1","2","1"
"17","19","2","4","1","4","4","2"
"18","19","2","1","1","1","1","1"
"19","19","2","1","1","2","2","1"
"20","19","1","4","1","4","2","1"
"21","19","2","2","1","1","1","3"
"22","19","2","3","1","2","1","2"
"23","19","2","4","2","4","4","2"
"24","19","2","4","2","4","2","2"
"25","19","2","1","1","3","1","1"
"26","19","2","2","1","1","1","2"
"27","19","2","3","1","2","1","1"
"28","19","2","2","1","3","2","1"
"29","19","2","1","1","1","1","1"
"30","19","2","3","1","4","1","2"
"31","19","2","2","1","4","3","4"
"32","19","1","3","2","3","1","2"
"33","19","2","2","1","1","1","1"
"34","19","2","2","2","2","1","1"
"35","19","2","4","1","4","3","2"
"36","19","2","3","3","4","3","2"
"37","19","2","1","1","1","1","1"
"38","19","2","1","1","9","1","4"
"39","19","2","1","1","1","1","2"
"40","19","2","2","1","2","2","1"
"41","19","2","3","1","4","1","1"
"42","19","1","1","1","2","1","2"
"43","19","2","4","1","4","2","2"
"44","19","2","3","1","4","2","1"
"45","19","2","1","1","2","1","1"
"46","19","2","4","2","4","2","2"
"47","19","2","2","1","2","2","1"
"48","19","2","2","1","1","1","3"
"49","19","2","4","2","4","3","2"
"50","19","2","3","1","3","1","1"
"51","19","2","3","1","4","1","1"
"52","19","2","3","2","2","1","1"
"53","19","2","4","2","4","2","1"
"54","19","2","2","1","2","1","1"
